DATE,PM2.5
17-02-2021,134
18-02-2021,168
19-02-2021,132
20-02-2021,130
21-02-2021,135
22-02-2021,142
23-02-2021,165
24-02-2021,172
25-02-2021,152
26-02-2021,129
27-02-2021,126
28-02-2021,139
01-03-2021,159
02-03-2021,146
03-03-2021,152
04-03-2021,160
05-03-2021,169
06-03-2021,137
07-03-2021,122
08-03-2021,112
09-03-2021,131
10-03-2021,131
11-03-2021,107
12-03-2021,106
13-03-2021,154
14-03-2021,150
15-03-2021,142
16-03-2021,134
17-03-2021,146
18-03-2021,129
19-03-2021,135
20-03-2021,125
21-03-2021,130
22-03-2021,134
23-03-2021,147
24-03-2021,160
25-03-2021,140
26-03-2021,156
27-03-2021,154
28-03-2021,143
29-03-2021,115
30-03-2021,71
31-03-2021,75
01-10-2020,62
02-10-2020,83
03-10-2020,97
04-10-2020,72
05-10-2020,65
06-10-2020,87
07-10-2020,103
08-10-2020,107
09-10-2020,136
10-10-2020,145
11-10-2020,99
12-10-2020,117
13-10-2020,116
14-10-2020,124
15-10-2020,65
16-10-2020,67
17-10-2020,70
18-10-2020,65
19-10-2020,68
20-10-2020,83
21-10-2020,95
22-10-2020,105
23-10-2020,103
24-10-2020,116
25-10-2020,104
26-10-2020,121
27-10-2020,128
28-10-2020,141
29-10-2020,151
30-10-2020,145
31-10-2020,135
01-11-2020,134
02-11-2020,157
03-11-2020,162
04-11-2020,161
05-11-2020,156
06-11-2020,141
07-11-2020,154
08-11-2020,160
09-11-2020,148
10-11-2020,158
11-11-2020,160
12-11-2020,159
13-11-2020,149
14-11-2020,131
15-11-2020,149
16-11-2020,149
17-11-2020,149
18-11-2020,155
19-11-2020,157
20-11-2020,150
21-11-2020,155
22-11-2020,160
23-11-2020,128
24-11-2020,161
25-11-2020,172
26-11-2020,170
27-11-2020,142
28-11-2020,137
29-11-2020,107
30-11-2020,146
01-12-2020,152
02-12-2020,161
03-12-2020,157
04-12-2020,156
05-12-2020,161
06-12-2020,142
07-12-2020,152
08-12-2020,149
09-12-2020,148
10-12-2020,158
11-12-2020,160
12-12-2020,154
13-12-2020,150
14-12-2020,124
15-12-2020,163
16-12-2020,170
17-12-2020,171
18-12-2020,171
19-12-2020,161
20-12-2020,158
21-12-2020,147
22-12-2020,157
23-12-2020,163
24-12-2020,167
25-12-2020,173
26-12-2020,171
27-12-2020,176
28-12-2020,148
29-12-2020,163
30-12-2020,176
31-12-2020,176
01-01-2021,187
02-01-2021,187
03-01-2021,180
01-07-2020,42
02-07-2020,52
03-07-2020,28
04-07-2020,38
10-08-2020,50
14-08-2020,33
15-08-2020,47
16-08-2020,48
17-08-2020,39
18-08-2020,35
19-08-2020,32
20-08-2020,28
21-08-2020,24
22-08-2020,25
23-08-2020,19
25-08-2020,37
26-08-2020,26
30-08-2020,23
31-08-2020,29
01-09-2020,39
02-09-2020,67
03-09-2020,56
04-09-2020,77
05-09-2020,94
06-09-2020,120
07-09-2020,45
08-09-2020,55
09-09-2020,65
10-09-2020,54
11-09-2020,73
12-09-2020,43
13-09-2020,36
14-09-2020,45
15-09-2020,46
