DATE,PM2.5
15-06-2021,80
16-06-2021,93
17-06-2021,78
18-06-2021,62
19-06-2021,91
20-06-2021,94
21-06-2021,108
22-06-2021,88
23-06-2021,96
24-06-2021,89
25-06-2021,101
26-06-2021,88
27-06-2021,73
28-06-2021,77
29-06-2021,77
30-06-2021,96
04-01-2021,244
05-01-2021,209
06-01-2021,258
07-01-2021,256
08-01-2021,204
09-01-2021,191
10-01-2021,187
11-01-2021,197
12-01-2021,192
13-01-2021,203
14-01-2021,216
19-01-2021,224
20-01-2021,225
21-01-2021,233
22-01-2021,220
23-01-2021,264
24-01-2021,271
25-01-2021,276
26-01-2021,243
27-01-2021,220
28-01-2021,202
29-01-2021,230
30-01-2021,241
31-01-2021,233
01-02-2021,229
02-02-2021,248
03-02-2021,272
04-02-2021,248
05-02-2021,235
06-02-2021,233
07-02-2021,163
08-02-2021,185
09-02-2021,227
10-02-2021,260
11-02-2021,194
12-02-2021,191
13-02-2021,192
14-02-2021,182
15-02-2021,168
16-02-2021,187
17-02-2021,229
18-02-2021,210
19-02-2021,222
20-02-2021,202
21-02-2021,211
22-02-2021,210
23-02-2021,190
24-02-2021,194
25-02-2021,185
26-02-2021,175
27-02-2021,170
28-02-2021,155
01-03-2021,152
02-03-2021,161
03-03-2021,159
04-03-2021,187
05-03-2021,155
06-03-2021,161
07-03-2021,170
08-03-2021,152
09-03-2021,103
10-03-2021,80
11-03-2021,103
12-03-2021,123
13-03-2021,157
14-03-2021,155
15-03-2021,160
16-03-2021,164
17-03-2021,170
18-03-2021,172
19-03-2021,174
20-03-2021,188
21-03-2021,175
22-03-2021,179
23-03-2021,167
24-03-2021,172
25-03-2021,167
26-03-2021,171
27-03-2021,174
28-03-2021,174
29-03-2021,160
30-03-2021,156
31-03-2021,164
01-10-2020,40
02-10-2020,38
03-10-2020,56
04-10-2020,62
05-10-2020,51
06-10-2020,50
07-10-2020,49
08-10-2020,85
09-10-2020,119
10-10-2020,110
11-10-2020,104
12-10-2020,124
13-10-2020,91
14-10-2020,38
15-10-2020,31
16-10-2020,102
17-10-2020,135
18-10-2020,129
19-10-2020,101
20-10-2020,131
21-10-2020,22
22-10-2020,17
23-10-2020,35
24-10-2020,65
25-10-2020,112
26-10-2020,160
27-10-2020,164
28-10-2020,175
29-10-2020,145
30-10-2020,141
31-10-2020,140
01-11-2020,37
02-11-2020,56
03-11-2020,178
04-11-2020,185
19-11-2020,163
